Age,Sex,Country,Unemployment Rate (%),Year,Month
25+,Male,Iceland,0.023,2016,9
25+,Male,Iceland,0.0559999999999999,2020,9
25+,Male,Iceland,0.057,2020,10
25+,Male,Iceland,0.0559999999999999,2020,11
25+,Male,Iceland,0.0409999999999999,2021,9
25+,Male,Iceland,0.039,2021,10
25+,Male,Iceland,0.037,2021,11
25+,Male,Iceland,0.034,2021,12
25+,Male,Iceland,0.032,2022,1
25+,Male,Iceland,0.031,2022,2
25+,Male,Iceland,0.03,2022,3
25+,Male,Iceland,0.03,2022,4
25+,Male,Iceland,0.03,2022,5
25+,Male,Iceland,0.031,2022,6
25+,Male,Iceland,0.031,2022,7
25+,Male,Iceland,0.031,2022,8
25+,Male,Iceland,0.032,2022,9
25+,Male,Iceland,0.032,2022,10
25+,Male,Iceland,0.032,2022,11
25+,Female,Costa Rica,0.254926,2020,6
25+,Female,Costa Rica,0.2432668,2020,7
25+,Female,Costa Rica,0.09708,2018,4
25+,Female,Costa Rica,0.086754,2018,5
25+,Female,Costa Rica,0.08084832,2018,6
25+,Female,Costa Rica,0.08150314,2018,7
25+,Female,Costa Rica,0.09359915,2018,8
25+,Female,Costa Rica,0.09172826,2018,9
25+,Female,Costa Rica,0.084974,2017,3
25+,Female,Costa Rica,0.0793171,2017,4
25+,Female,Costa Rica,0.07849754,2017,5
25+,Female,Costa Rica,0.08075254,2017,6
25+,Female,Costa Rica,0.09094005,2017,7
25+,Female,Costa Rica,0.085081,2017,8
25+,Female,Costa Rica,0.09450516,2017,9
25+,Female,Costa Rica,0.08642833,2017,10
25+,Female,Costa Rica,0.08848013,2017,11
25+,Female,Costa Rica,0.08216663,2017,12
25+,Female,Costa Rica,0.0798054,2018,1
25+,Female,Costa Rica,0.08773222,2018,2
25+,Female,Costa Rica,0.0967927399999999,2018,3
25+,Female,Costa Rica,0.0809481,2014,11
25+,Female,Costa Rica,0.09078204,2014,12
25+,Female,Costa Rica,0.09610573,2015,1
25+,Female,Costa Rica,0.09392299,2015,2
25+,Female,Costa Rica,0.0906070899999999,2015,3
25+,Female,Costa Rica,0.08723302,2015,4
25+,Female,Costa Rica,0.08959453,2015,5
25+,Female,Costa Rica,0.08569715,2015,6
25+,Female,Costa Rica,0.08274921,2015,7
25+,Female,Costa Rica,0.0887676,2015,8
25+,Female,Costa Rica,0.09103258,2015,9
25+,Female,Costa Rica,0.09519945,2015,10
25+,Female,Costa Rica,0.0873539,2015,11
25+,Female,Costa Rica,0.08608032,2015,12
25+,Female,Costa Rica,0.0866112,2016,1
25+,Female,Costa Rica,0.08587133,2016,2
25+,Female,Costa Rica,0.07774333,2016,3
25+,Female,Costa Rica,0.08276215,2016,4
25+,Female,Costa Rica,0.08041914,2016,5
25+,Female,Costa Rica,0.0795763999999999,2016,6
25+,Female,Costa Rica,0.08022031,2016,7
25+,Female,Costa Rica,0.0892186899999999,2016,8
25+,Female,Costa Rica,0.09126353,2016,9
25+,Female,Costa Rica,0.0929909299999999,2016,10
25+,Female,Costa Rica,0.09054652,2016,11
25+,Female,Costa Rica,0.08602195,2016,12
25+,Female,Costa Rica,0.08202409,2017,1
25+,Female,Costa Rica,0.08522057,2017,2
25+,Female,Costa Rica,0.2431804,2020,8
25+,Female,Costa Rica,0.2467955,2020,9
25+,Female,Costa Rica,0.2299876,2020,10
25+,Female,Costa Rica,0.2092793,2020,11
25+,Female,Costa Rica,0.1981827,2020,12
25+,Female,Costa Rica,0.1920423999999999,2021,1
25+,Female,Costa Rica,0.1979761,2021,2
25+,Female,Costa Rica,0.1858416,2021,3
25+,Female,Costa Rica,0.1956474,2021,4
25+,Female,Costa Rica,0.2019097,2021,5
25+,Female,Costa Rica,0.1894932,2021,6
25+,Female,Costa Rica,0.1753986,2021,7
25+,Female,Costa Rica,0.157073,2021,8
25+,Female,Costa Rica,0.1530354,2021,9
25+,Female,Costa Rica,0.141805,2021,10
25+,Female,Costa Rica,0.1388136,2021,11
25+,Female,Costa Rica,0.1349846,2021,12
25+,Female,Costa Rica,0.1387306,2022,1
25+,Female,Costa Rica,0.1406962,2022,2
25+,Female,Costa Rica,0.142694,2022,3
25+,Female,Costa Rica,0.1312302,2022,4
25+,Female,Costa Rica,0.1203244,2022,5
25+,Female,Costa Rica,0.1231911,2022,6
25+,Female,Costa Rica,0.1225698,2022,7
25+,Female,Costa Rica,0.1326099,2022,8
25+,Female,Costa Rica,0.1222143,2022,9
25+,Female,Costa Rica,0.1316987,2022,10
25+,Female,Costa Rica,0.1286891,2022,11
25+,Female,Costa Rica,0.1250079,2022,12
25+,Female,Costa Rica,0.1122378,2023,1
25+,Female,Costa Rica,0.1059408,2023,2
25+,Female,Costa Rica,0.09827623,2023,3
25+,Female,Costa Rica,0.0952463799999999,2023,4
25+,Female,Costa Rica,0.09132888,2023,5
25+,Female,Costa Rica,0.09864513,2023,6
25+,Female,Costa Rica,0.09155172,2023,7
25+,Female,Costa Rica,0.07246819,2023,8
25+,Female,Costa Rica,0.06071566,2023,9
25+,Female,Costa Rica,0.05235119,2023,10
25+,Female,Costa Rica,0.05758016,2023,11
25+,Male,Iceland,0.03,2019,6
25+,Male,Iceland,0.03,2019,7
25+,Male,Iceland,0.03,2019,8
25+,Male,Iceland,0.03,2019,9
25+,Male,Iceland,0.031,2019,10
25+,Female,Costa Rica,0.08459803,2014,10
25+,Female,Costa Rica,0.1080744999999999,2018,10
25+,Female,Costa Rica,0.1071580999999999,2018,11
25+,Female,Costa Rica,0.1100455,2018,12
25+,Female,Costa Rica,0.1100835,2019,1
25+,Female,Costa Rica,0.1133508,2019,2
25+,Female,Costa Rica,0.1196602,2019,3
25+,Female,Costa Rica,0.1149008,2019,4
25+,Female,Costa Rica,0.1152699,2019,5
25+,Female,Costa Rica,0.1135682,2019,6
25+,Female,Costa Rica,0.1182099,2019,7
25+,Female,Costa Rica,0.1213795,2019,8
25+,Female,Costa Rica,0.1319069,2019,9
25+,Female,Costa Rica,0.1241333,2019,10
25+,Female,Costa Rica,0.119285,2019,11
25+,Female,Costa Rica,0.1159415,2019,12
25+,Female,Costa Rica,0.1203278,2020,1
25+,Female,Costa Rica,0.1362146,2020,2
25+,Female,Costa Rica,0.1696137999999999,2020,3
25+,Female,Costa Rica,0.2206758999999999,2020,4
25+,Male,Iceland,0.023,2016,10
25+,Male,Iceland,0.023,2016,11
25+,Male,Iceland,0.023,2016,12
25+,Male,Iceland,0.023,2017,1
25+,Male,Iceland,0.023,2017,2
25+,Male,Iceland,0.023,2017,3
25+,Male,Iceland,0.023,2017,4
25+,Male,Iceland,0.023,2017,5
25+,Male,Iceland,0.023,2017,6
25+,Male,Iceland,0.044,2021,7
25+,Male,Iceland,0.042,2021,8
25+,Female,Costa Rica,0.06869948,2023,12
25+,Female,Costa Rica,0.06621194,2024,1
25+,Female,Costa Rica,0.0685181699999999,2024,2
25+,Female,Costa Rica,0.06772802,2024,3
25+,Female,Costa Rica,0.0728545999999999,2024,4
25+,Female,Costa Rica,0.0773256,2024,5
25+,Female,Costa Rica,0.06824808,2024,6
25+,Female,Costa Rica,0.0583249,2024,7
25+,Female,Costa Rica,0.06969042,2014,1
25+,Female,Costa Rica,0.0775035999999999,2014,2
25+,Female,Costa Rica,0.0793107399999999,2014,3
25+,Female,Costa Rica,0.0754263999999999,2014,4
25+,Female,Costa Rica,0.07976578,2014,5
25+,Female,Costa Rica,0.07985929,2014,6
25+,Female,Costa Rica,0.08293677,2014,7
25+,Female,Costa Rica,0.08371501,2014,8
25+,Female,Costa Rica,0.08793602,2014,9
15-24,Male,Slovenia,0.074,2018,4
15-24,Male,Slovenia,0.074,2018,5
15-24,Male,Slovenia,0.1889999999999999,2014,6
15-24,Male,Slovenia,0.188,2014,7
15-24,Male,Slovenia,0.188,2014,8
15-24,Male,Slovenia,0.188,2014,9
15-24,Male,Slovenia,0.179,2014,10
15-24,Male,Slovenia,0.179,2014,11
15-24,Male,Slovenia,0.228,2014,1
15-24,Male,Slovenia,0.228,2014,2
15-24,Male,Slovenia,0.228,2014,3
15-24,Male,Slovenia,0.1889999999999999,2014,4
15-24,Male,Slovenia,0.1889999999999999,2014,5
15-24,Male,Slovenia,0.122,2023,4
15-24,Male,Slovenia,0.122,2023,5
15-24,Male,Slovenia,0.122,2023,6
15-24,Male,Slovenia,0.125,2023,7
15-24,Male,Slovenia,0.125,2023,8
15-24,Male,Slovenia,0.125,2023,9
15-24,Male,Slovenia,0.103,2023,10
15-24,Male,Slovenia,0.103,2023,11
15-24,Male,Slovenia,0.103,2023,12
15-24,Male,Slovenia,0.091,2024,1
15-24,Male,Slovenia,0.091,2024,2
15-24,Male,Slovenia,0.091,2024,3
15-24,Male,Slovenia,0.085,2024,4
15-24,Male,Slovenia,0.085,2024,5
15-24,Male,Slovenia,0.085,2024,6
15-24,Male,Slovenia,0.094,2024,7
15-24,Male,Slovenia,0.094,2024,8
15-24,Male,Slovenia,0.094,2024,9
15-24,Male,Slovenia,0.074,2018,6
15-24,Male,Slovenia,0.096,2018,7
15-24,Male,Slovenia,0.096,2018,8
15-24,Male,Slovenia,0.096,2018,9
15-24,Male,Slovenia,0.077,2018,10
15-24,Male,Slovenia,0.077,2018,11
15-24,Male,Slovenia,0.077,2018,12
15-24,Male,Slovenia,0.0819999999999999,2019,1
15-24,Male,Slovenia,0.0819999999999999,2019,2
15-24,Male,Slovenia,0.0819999999999999,2019,3
15-24,Male,Slovenia,0.054,2019,4
15-24,Male,Slovenia,0.054,2019,5
15-24,Male,Slovenia,0.054,2019,6
15-24,Male,Slovenia,0.075,2019,7
15-24,Male,Slovenia,0.075,2019,8
15-24,Male,Slovenia,0.075,2019,9
15-24,Male,Slovenia,0.085,2019,10
15-24,Male,Slovenia,0.085,2019,11
15-24,Male,Slovenia,0.085,2019,12
15-24,Male,Slovenia,0.0969999999999999,2020,1
15-24,Male,Slovenia,0.0969999999999999,2020,2
15-24,Male,Slovenia,0.0969999999999999,2020,3
15-24,Male,Slovenia,0.152,2020,4
15-24,Male,Slovenia,0.152,2020,5
15-24,Male,Slovenia,0.152,2020,6
15-24,Male,Slovenia,0.134,2020,7
15-24,Male,Slovenia,0.134,2020,8
15-24,Male,Slovenia,0.134,2020,9
15-24,Male,Slovenia,0.14,2020,10
15-24,Male,Slovenia,0.14,2020,11
15-24,Male,Slovenia,0.14,2020,12
15-24,Male,Slovenia,0.132,2021,1
15-24,Male,Slovenia,0.132,2021,2
15-24,Male,Slovenia,0.132,2021,3
15-24,Male,Slovenia,0.128,2021,4
15-24,Male,Slovenia,0.128,2021,5
15-24,Male,Slovenia,0.128,2021,6
15-24,Male,Slovenia,0.119,2021,7
15-24,Male,Slovenia,0.119,2021,8
15-24,Male,Slovenia,0.119,2021,9
15-24,Male,Slovenia,0.092,2021,10
15-24,Male,Slovenia,0.092,2021,11
15-24,Male,Slovenia,0.092,2021,12
15-24,Male,Slovenia,0.098,2022,1
15-24,Male,Slovenia,0.098,2022,2
15-24,Male,Slovenia,0.098,2022,3
15-24,Male,Slovenia,0.1009999999999999,2022,4
15-24,Male,Slovenia,0.1009999999999999,2022,5
15-24,Male,Slovenia,0.1009999999999999,2022,6
15-24,Male,Slovenia,0.0819999999999999,2022,7
15-24,Male,Slovenia,0.076,2017,9
15-24,Male,Slovenia,0.1119999999999999,2017,10
15-24,Male,Slovenia,0.1119999999999999,2017,11
15-24,Male,Slovenia,0.1119999999999999,2017,12
15-24,Male,Slovenia,0.086,2018,1
15-24,Male,Slovenia,0.086,2018,2
15-24,Female,Norway,0.105,2024,8
15-24,Female,Norway,0.115,2024,9
15-24,Female,Norway,0.106,2017,11
15-24,Female,Norway,0.115,2017,12
15-24,Female,Norway,0.09,2018,1
15-24,Female,Norway,0.092,2018,2
15-24,Female,Norway,0.095,2018,3
15-24,Female,Norway,0.1009999999999999,2018,4
15-24,Female,Norway,0.1,2016,10
15-24,Female,Norway,0.13,2016,11
15-24,Female,Norway,0.115,2016,12
15-24,Female,Norway,0.095,2017,1
15-24,Female,Norway,0.128,2017,2
15-24,Female,Norway,0.126,2017,3
15-24,Female,Norway,0.11,2017,4
15-24,Female,Norway,0.12,2017,5
15-24,Female,Norway,0.134,2017,6
15-24,Female,Norway,0.109,2017,7
15-24,Female,Norway,0.115,2017,8
15-24,Female,Norway,0.122,2017,9
15-24,Female,Norway,0.098,2017,10
15-24,Female,Norway,0.085,2014,6
15-24,Female,Norway,0.106,2014,7
15-24,Female,Norway,0.086,2014,8
15-24,Female,Norway,0.095,2014,9
15-24,Female,Norway,0.105,2014,10
15-24,Female,Norway,0.089,2014,11
15-24,Female,Norway,0.09,2014,12
15-24,Female,Norway,0.113,2015,1
15-24,Female,Norway,0.1009999999999999,2015,2
15-24,Female,Norway,0.1009999999999999,2015,3
15-24,Female,Norway,0.11,2015,4
15-24,Female,Norway,0.109,2015,5
15-24,Female,Norway,0.119,2015,6
15-24,Female,Norway,0.134,2015,7
15-24,Female,Norway,0.1119999999999999,2015,8
15-24,Female,Norway,0.1159999999999999,2015,9
15-24,Female,Norway,0.12,2015,10
15-24,Female,Norway,0.093,2015,11
15-24,Female,Norway,0.122,2015,12
15-24,Female,Norway,0.127,2016,1
15-24,Female,Norway,0.118,2016,2
15-24,Female,Norway,0.1159999999999999,2016,3
15-24,Female,Norway,0.134,2016,4
15-24,Female,Norway,0.122,2016,5
15-24,Female,Norway,0.105,2016,6
15-24,Female,Norway,0.1159999999999999,2016,7
15-24,Female,Norway,0.1119999999999999,2016,8
15-24,Female,Norway,0.1119999999999999,2016,9
15-24,Female,Norway,0.104,2014,1
15-24,Female,Norway,0.07,2014,2
15-24,Female,Norway,0.107,2014,3
15-24,Female,Norway,0.093,2014,4
15-24,Female,Norway,0.083,2014,5
15-24,Female,Norway,0.092,2018,5
15-24,Female,Norway,0.1169999999999999,2018,6
15-24,Female,Norway,0.109,2018,7
15-24,Female,Norway,0.103,2018,8
15-24,Female,Norway,0.1119999999999999,2018,9
15-24,Female,Norway,0.1169999999999999,2018,10
15-24,Female,Norway,0.115,2018,11
15-24,Female,Norway,0.115,2018,12
15-24,Female,Norway,0.1119999999999999,2019,1
15-24,Female,Norway,0.134,2019,2
15-24,Female,Norway,0.1119999999999999,2019,3
15-24,Female,Norway,0.099,2019,4
15-24,Female,Norway,0.123,2019,5
15-24,Female,Norway,0.1169999999999999,2019,6
15-24,Female,Norway,0.113,2019,7
15-24,Female,Norway,0.122,2019,8
15-24,Female,Norway,0.102,2019,9
15-24,Female,Norway,0.1159999999999999,2019,10
15-24,Female,Norway,0.113,2019,11
15-24,Female,Norway,0.106,2019,12
15-24,Female,Norway,0.106,2020,1
15-24,Female,Norway,0.115,2020,2
15-24,Male,Slovenia,0.0819999999999999,2022,8
15-24,Male,Slovenia,0.0819999999999999,2022,9
15-24,Male,Slovenia,0.064,2022,10
15-24,Male,Slovenia,0.064,2022,11
15-24,Male,Slovenia,0.064,2022,12
15-24,Male,Slovenia,0.075,2023,1
15-24,Male,Slovenia,0.075,2023,2
15-24,Male,Slovenia,0.075,2023,3
15-24,Male,Slovenia,0.179,2014,12
15-24,Male,Slovenia,0.17,2015,1
15-24,Male,Slovenia,0.17,2015,2
15-24,Male,Slovenia,0.17,2015,3
15-24,Male,Slovenia,0.193,2015,4
15-24,Male,Slovenia,0.193,2015,5
15-24,Male,Slovenia,0.193,2015,6
15-24,Male,Slovenia,0.147,2015,7
15-24,Male,Slovenia,0.147,2015,8
15-24,Male,Slovenia,0.147,2015,9
15-24,Male,Slovenia,0.196,2015,10
15-24,Male,Slovenia,0.196,2015,11
15-24,Male,Slovenia,0.196,2015,12
15-24,Male,Slovenia,0.188,2016,1
15-24,Male,Slovenia,0.188,2016,2
15-24,Male,Slovenia,0.188,2016,3
15-24,Male,Slovenia,0.151,2016,4
15-24,Male,Slovenia,0.151,2016,5
15-24,Male,Slovenia,0.151,2016,6
15-24,Male,Slovenia,0.148,2016,7
15-24,Male,Slovenia,0.148,2016,8
15-24,Male,Slovenia,0.148,2016,9
15-24,Male,Slovenia,0.142,2016,10
15-24,Male,Slovenia,0.142,2016,11
15-24,Male,Slovenia,0.142,2016,12
15-24,Male,Slovenia,0.1159999999999999,2017,1
15-24,Male,Slovenia,0.1159999999999999,2017,2
15-24,Male,Slovenia,0.1159999999999999,2017,3
15-24,Male,Slovenia,0.099,2017,4
15-24,Male,Slovenia,0.099,2017,5
15-24,Male,Slovenia,0.099,2017,6
15-24,Male,Slovenia,0.076,2017,7
15-24,Male,Slovenia,0.076,2017,8
15-24,Male,Latvia,0.173,2021,9
15-24,Male,Latvia,0.142,2021,10
15-24,Male,Latvia,0.119,2021,11
15-24,Male,Latvia,0.107,2021,12
15-24,Male,Latvia,0.184,2020,6
15-24,Male,Latvia,0.139,2020,7
15-24,Male,Latvia,0.103,2020,8
15-24,Male,Latvia,0.08,2020,9
15-24,Male,Latvia,0.071,2020,10
15-24,Male,Latvia,0.075,2020,11
15-24,Male,Latvia,0.091,2020,12
15-24,Male,Latvia,0.121,2021,1
15-24,Male,Latvia,0.139,2021,2
15-24,Male,Latvia,0.144,2021,3
15-24,Male,Latvia,0.142,2021,4
15-24,Male,Latvia,0.148,2021,5
15-24,Male,Latvia,0.161,2021,6
15-24,Male,Latvia,0.139,2018,2
15-24,Male,Latvia,0.125,2018,3
15-24,Male,Latvia,0.129,2018,4
15-24,Male,Latvia,0.126,2018,5
15-24,Male,Latvia,0.118,2018,6
15-24,Male,Latvia,0.108,2018,7
15-24,Male,Latvia,0.105,2018,8
15-24,Male,Latvia,0.109,2018,9
15-24,Male,Latvia,0.1169999999999999,2018,10
15-24,Male,Latvia,0.131,2018,11
15-24,Male,Latvia,0.145,2018,12
15-24,Male,Latvia,0.157,2019,1
15-24,Male,Latvia,0.1669999999999999,2019,2
15-24,Male,Latvia,0.177,2019,3
15-24,Male,Latvia,0.2,2019,4
15-24,Male,Latvia,0.206,2019,5
15-24,Male,Latvia,0.181,2019,6
15-24,Male,Latvia,0.135,2019,7
15-24,Male,Latvia,0.108,2019,8
15-24,Male,Latvia,0.092,2019,9
15-24,Male,Latvia,0.083,2019,10
15-24,Male,Latvia,0.088,2019,11
15-24,Male,Latvia,0.106,2019,12
15-24,Male,Latvia,0.141,2020,1
15-24,Male,Latvia,0.166,2020,2
15-24,Male,Latvia,0.187,2020,3
15-24,Male,Latvia,0.211,2020,4
15-24,Male,Latvia,0.209,2020,5
15-24,Male,Latvia,0.09,2024,1
15-24,Male,Latvia,0.071,2024,2
15-24,Male,Latvia,0.079,2024,3
15-24,Male,Latvia,0.109,2024,4
15-24,Male,Latvia,0.129,2024,5
15-24,Male,Latvia,0.1369999999999999,2024,6
15-24,Male,Latvia,0.14,2024,7
15-24,Male,Latvia,0.147,2024,8
15-24,Male,Latvia,0.153,2024,9
15-24,Male,Latvia,0.209,2014,1
15-24,Male,Latvia,0.2019999999999999,2014,2
15-24,Male,Latvia,0.1939999999999999,2014,3
15-24,Male,Latvia,0.1939999999999999,2014,4
15-24,Male,Latvia,0.196,2014,5
15-24,Male,Latvia,0.2019999999999999,2014,6
15-24,Male,Latvia,0.211,2014,7
15-24,Male,Latvia,0.215,2014,8
15-24,Male,Latvia,0.205,2014,9
15-24,Male,Latvia,0.181,2014,10
15-24,Male,Latvia,0.16,2014,11
15-24,Male,Latvia,0.14,2014,12
15-24,Female,Norway,0.107,2020,3
15-24,Female,Norway,0.109,2020,4
15-24,Female,Norway,0.135,2020,5
15-24,Female,Norway,0.166,2020,6
15-24,Female,Norway,0.14,2020,7
15-24,Female,Norway,0.144,2020,8
15-24,Female,Norway,0.13,2020,9
15-24,Female,Norway,0.16,2020,10
15-24,Female,Norway,0.11,2020,11
15-24,Female,Norway,0.114,2020,12
15-24,Female,Norway,0.096,2021,1
15-24,Female,Norway,0.145,2021,2
15-24,Female,Norway,0.1119999999999999,2021,3
15-24,Female,Norway,0.144,2021,4
15-24,Female,Norway,0.15,2021,5
15-24,Female,Norway,0.122,2021,6
15-24,Female,Norway,0.105,2021,7
15-24,Female,Norway,0.077,2021,8
15-24,Female,Norway,0.145,2021,9
15-24,Female,Norway,0.098,2021,10
15-24,Female,Norway,0.104,2021,11
15-24,Female,Norway,0.11,2021,12
15-24,Female,Norway,0.065,2022,1
15-24,Female,Norway,0.099,2022,2
15-24,Female,Norway,0.083,2022,3
15-24,Female,Norway,0.0579999999999999,2022,4
15-24,Female,Norway,0.096,2022,5
15-24,Female,Norway,0.086,2022,6
15-24,Female,Norway,0.068,2022,7
15-24,Female,Norway,0.0819999999999999,2022,8
15-24,Female,Norway,0.093,2022,9
15-24,Female,Norway,0.113,2022,10
15-24,Female,Norway,0.078,2022,11
15-24,Female,Norway,0.106,2022,12
15-24,Female,Norway,0.1159999999999999,2023,1
15-24,Female,Norway,0.094,2023,2
15-24,Female,Norway,0.126,2023,3
15-24,Female,Norway,0.1009999999999999,2023,4
15-24,Female,Norway,0.077,2023,5
15-24,Female,Norway,0.099,2023,6
15-24,Female,Norway,0.106,2023,7
15-24,Female,Norway,0.115,2023,8
15-24,Female,Norway,0.099,2023,9
15-24,Female,Norway,0.109,2023,10
15-24,Female,Norway,0.109,2023,11
15-24,Female,Norway,0.107,2023,12
15-24,Female,Norway,0.118,2024,1
15-24,Female,Norway,0.1009999999999999,2024,2
15-24,Female,Norway,0.11,2024,3
15-24,Female,Norway,0.131,2024,4
15-24,Female,Norway,0.119,2024,5
15-24,Female,Norway,0.113,2024,6
15-24,Male,Ireland,0.216,2020,9
15-24,Male,Ireland,0.149,2019,3
15-24,Male,Ireland,0.157,2019,4
15-24,Male,Ireland,0.161,2019,5
15-24,Male,Ireland,0.156,2019,6
15-24,Male,Ireland,0.148,2019,7
15-24,Male,Ireland,0.139,2019,8
15-24,Male,Ireland,0.129,2019,9
15-24,Male,Ireland,0.1159999999999999,2019,10
15-24,Male,Ireland,0.118,2019,11
15-24,Male,Ireland,0.127,2019,12
15-24,Male,Ireland,0.139,2020,1
15-24,Male,Ireland,0.139,2020,2
15-24,Male,Ireland,0.132,2020,3
15-24,Male,Ireland,0.184,2016,11
15-24,Male,Ireland,0.177,2016,12
15-24,Male,Ireland,0.162,2017,1
15-24,Male,Ireland,0.156,2017,2
15-24,Male,Ireland,0.157,2017,3
15-24,Male,Ireland,0.163,2017,4
15-24,Male,Ireland,0.166,2017,5
15-24,Male,Ireland,0.1689999999999999,2017,6
15-24,Male,Ireland,0.166,2017,7
15-24,Male,Ireland,0.163,2017,8
15-24,Male,Ireland,0.161,2017,9
15-24,Male,Ireland,0.155,2017,10
15-24,Male,Ireland,0.15,2017,11
15-24,Male,Ireland,0.151,2017,12
15-24,Male,Ireland,0.15,2018,1
15-24,Male,Ireland,0.149,2018,2
15-24,Male,Ireland,0.144,2018,3
15-24,Male,Ireland,0.143,2018,4
15-24,Male,Ireland,0.144,2018,5
15-24,Male,Ireland,0.142,2018,6
15-24,Male,Ireland,0.147,2018,7
15-24,Male,Ireland,0.152,2018,8
15-24,Male,Ireland,0.152,2018,9
15-24,Male,Ireland,0.154,2018,10
15-24,Male,Ireland,0.154,2018,11
15-24,Male,Ireland,0.154,2018,12
15-24,Male,Ireland,0.143,2019,1
15-24,Male,Ireland,0.145,2019,2
15-24,Male,Ireland,0.108,2022,10
15-24,Male,Ireland,0.113,2022,11
15-24,Male,Ireland,0.108,2022,12
15-24,Male,Ireland,0.108,2023,1
15-24,Male,Ireland,0.107,2023,2
15-24,Male,Ireland,0.107,2023,3
15-24,Male,Ireland,0.104,2023,4
15-24,Male,Ireland,0.104,2023,5
15-24,Male,Ireland,0.106,2023,6
15-24,Male,Ireland,0.108,2023,7
15-24,Male,Ireland,0.11,2023,8
15-24,Male,Ireland,0.113,2023,9
15-24,Male,Ireland,0.107,2023,10
15-24,Male,Ireland,0.104,2023,11
