Country,Sex,Age,age_categories,Continent,Year,UnemploymentRate
Chad,Male,25+,Adults,Africa,2014,0.010892046522871955
Chad,Female,15-24,Youth,Africa,2014,0.007574740121947944
Chad,Total,25+,Adults,Africa,2014,0.012252992738635652
Chad,Total,15-24,Youth,Africa,2014,0.012252992738635652
Chad,Female,25+,Adults,Africa,2014,0.007467296999650809
Channel Islands,Male,15-24,Youth,Europe,2014,0.28389158988960217
Channel Islands,Female,15-24,Youth,Europe,2014,0.2614225469392141
Channel Islands,Female,25+,Adults,Europe,2014,0.0925891106395552
Channel Islands,Male,25+,Adults,Europe,2014,0.08857342394369981
Chile,Male,25+,Adults,South America,2014,0.06912621880791857
Chile,Total,15-24,Youth,South America,2014,0.21974804587821323
Chile,Female,15-24,Youth,South America,2014,0.26641865212603083
Chile,Female,25+,Adults,South America,2014,0.07131537242472266
Chile,Male,15-24,Youth,South America,2014,0.20083805635391766
Chile,Total,25+,Adults,South America,2014,0.0685621424158586
China,Total,15-24,Youth,Asia,2014,0.08325722778837287
China,Female,15-24,Youth,Asia,2014,0.12584275699051817
China,Male,15-24,Youth,Asia,2014,0.15329447473743588
China,Male,25+,Adults,Asia,2014,0.05560181578876682
China,Female,25+,Adults,Asia,2014,0.04276236267425931
Colombia,Male,25+,Adults,South America,2014,0.06975744715141423
Colombia,Female,15-24,Youth,South America,2014,0.31646028633592094
Colombia,Female,25+,Adults,South America,2014,0.11503129280936905
Colombia,Male,15-24,Youth,South America,2014,0.19526444438475385
Colombia,Total,25+,Adults,South America,2014,0.08896290526202692
Colombia,Total,15-24,Youth,South America,2014,0.24495688844717828
Comoros,Total,15-24,Youth,Africa,2014,0.2611405087431841
Comoros,Total,25+,Adults,Africa,2014,0.09206532541835666
Comoros,Female,15-24,Youth,Africa,2014,0.13343092750275323
Comoros,Female,25+,Adults,Africa,2014,0.062437884444921966
Comoros,Male,15-24,Youth,Africa,2014,0.13082543178704775
Comoros,Male,25+,Adults,Africa,2014,0.05071315372424723
Congo,Female,15-24,Youth,Africa,2014,0.530513846732386
Congo,Female,25+,Adults,Africa,2014,0.2172231325042306
Congo,Male,25+,Adults,Africa,2014,0.17335947782642566
Congo,Male,15-24,Youth,Africa,2014,0.5625050363963576
Costa Rica,Total,25+,Adults,North America,2014,0.07064385291036558
Costa Rica,Total,15-24,Youth,North America,2014,0.3205699857637863
Costa Rica,Female,15-24,Youth,North America,2014,0.39747240054795996
Costa Rica,Female,25+,Adults,North America,2014,0.0909506030245239
Costa Rica,Male,15-24,Youth,North America,2014,0.279325257191974
Costa Rica,Male,25+,Adults,North America,2014,0.0588788310188294
Cote d'Ivoire,Female,25+,Adults,Africa,2014,0.044011388970963496
Cote d'Ivoire,Total,25+,Adults,Africa,2014,0.04840536499324004
Cote d'Ivoire,Male,25+,Adults,Africa,2014,0.031306239759327406
Cote d'Ivoire,Male,15-24,Youth,Africa,2014,0.05004163420989014
Cote d'Ivoire,Female,15-24,Youth,Africa,2014,0.07674125010072792
Cote d'Ivoire,Total,15-24,Youth,Africa,2014,0.04840536499324004
Croatia,Female,25+,Adults,Europe,2014,0.21310000268607807
Croatia,Male,15-24,Youth,Europe,2014,0.603172258185823
Croatia,Male,25+,Adults,Europe,2014,0.1804910150688979
Croatia,Total,15-24,Youth,Europe,2014,0.6108141502592065
